Designator,Mid X,Mid Y,Rotation,Layer
A1,119.761,-117.602,0.0,top
C1,55.88,-100.8595,90.0,top
C2,146.879,-134.3,90.0,top
C3,151.832,-131.633,0.0,top
C4,146.928,-125.537,0.0,top
C5,146.928,-128.966,0.0,top
D1,170.8405,-101.981,180.0,top
D2,155.702,-128.2445,270.0,top
F1,169.5825,-118.999,270.0,top
F2,169.9635,-106.426,90.0,top
F3,157.296,-133.919,180.0,top
J1,113.817,-108.839,90.0,top
J10,100.394,-97.134,180.0,top
J11,114.428,-97.099,180.0,top
J12,128.525,-97.099,180.0,top
J13,142.495,-97.099,180.0,top
J2,95.656,-108.839,90.0,top
J3,103.53,-121.539,270.0,top
J4,175.2435,-113.222,270.0,top
J5,175.38,-134.16,270.0,top
J6,175.2435,-97.282,270.0,top
J7,103.53,-126.619,270.0,top
J8,103.53,-136.779,270.0,top
J9,103.52,-131.699,270.0,top
L1,138.243,-130.998,90.0,top
Q1,137.735,-119.949,0.0,top
Q2,141.8505,-119.949,180.0,top
Qw1,49.047,-96.647,90.0,top
Qw2,49.047,-105.832,90.0,top
Qw3,49.047,-115.017,90.0,top
Qw4,49.047,-124.202,90.0,top
Qw5,69.367,-96.647,270.0,top
Qw6,69.367,-105.832,270.0,top
Qw7,69.367,-115.017,270.0,top
Qw8,69.367,-124.202,270.0,top
R1,165.481,-102.425,270.0,top
R10,53.2885,-115.062,0.0,top
R11,53.2895,-113.538,0.0,top
R12,53.15,-124.206,0.0,top
R13,53.15,-122.682,0.0,top
R14,65.214,-97.409,180.0,top
R15,65.215,-98.933,180.0,top
R16,65.214,-105.918,180.0,top
R17,65.215,-107.442,180.0,top
R18,65.215,-115.824,180.0,top
R19,65.215,-117.348,180.0,top
R2,163.957,-102.425,90.0,top
R20,65.215,-124.46,180.0,top
R21,65.214,-125.984,180.0,top
R22,57.0355,-116.142,270.0,top
R23,58.5595,-116.142,270.0,top
R24,57.785,-101.028,90.0,top
R25,60.0835,-116.142,90.0,top
R26,155.702,-131.254,270.0,top
R27,154.813,-102.425,270.0,top
R28,153.289,-102.425,90.0,top
R29,162.433,-125.92,90.0,top
R3,162.179,-106.743,90.0,top
R30,163.957,-125.92,90.0,top
R31,156.528,-137.414,180.0,top
R32,156.527,-135.89,0.0,top
R33,134.049,-120.965,180.0,top
R34,134.048,-118.999,180.0,top
R4,163.703,-106.743,90.0,top
R5,167.778,-101.981,0.0,top
R6,53.15,-96.266,0.0,top
R7,53.15,-94.742,0.0,top
R8,53.149,-105.791,0.0,top
R9,53.149,-104.267,0.0,top
SW1,166.5345,-97.147,0.0,top
SW2,63.577,-133.767,0.0,top
SW3,48.337,-133.767,0.0,top
SW4,155.9935,-97.147,0.0,top
U1,164.5025,-113.919,270.0,top
U2,82.809,-118.872,180.0,top
U3,59.207,-108.077,90.0,top
U4,164.5025,-133.0615,270.0,top
U5,151.959,-134.62,0.0,top
